Церемония	Актриса	Фильм(ы)	Роль
60-я	Мерил Стрип	Чертополох	Хелен Арчер
61-я	Джоди Фостер	Обвиняемые	Сара Тобиас
61-я	Гленн Клоуз	Опасные связи	маркиза Изабель де Мертей
61-я	Мелани Гриффит	Деловая девушка	Тесс Макгилл
61-я	Мерил Стрип	Крик в темноте	Линди Чемберлен
61-я	Сигурни Уивер	Гориллы в тумане	Дайан Фосси
62-я	Джессика Тэнди	Шофёр мисс Дэйзи	мисс Дэйзи Вортон
62-я	Изабель Аджани	Камилла Клодель	Камилла Клодель
62-я	Полин Коллинз	Ширли Валентайн	Ширли Валентайн-Брэдшоу
62-я	Джессика Лэнг	Музыкальная шкатулка	Энн Тэлбот
62-я	Мишель Пфайффер	Знаменитые братья Бэйкеры	Сьюзи Диамонд
63-я	Кэти Бэйтс	Мизери	Энни Уилкс
63-я	Анжелика Хьюстон	Кидалы	Лилли Диллон
63-я	Джулия Робертс	Красотка	Вивьен Уорд
63-я	Мерил Стрип	Открытки с края бездны	Сьюзан Вэйл
63-я	Джоан Вудворд	Мистер и миссис Бридж	Индия Бридж
64-я	Джоди Фостер	Молчание ягнят	Клариса Старлинг
64-я	Джина Дэвис	Тельма и Луиза	Тельма Ивонн Дикинсон
64-я	Лора Дерн	Слабая Роза	Роза
64-я	Бетт Мидлер	Для наших ребят	Дикси Леонард
64-я	Сьюзан Сарандон	Тельма и Луиза	Луиза Элизабет Сойер
65-я	Эмма Томпсон	Говардс Энд	Маргарет Шлегель
65-я	Катрин Денёв	Индокитай	Элиан Деврие
65-я	Мэри Макдоннелл	Рыба страсти	Мэй-Элис Колхейн
65-я	Мишель Пфайффер	Поле любви	Лурин Хэллетт
65-я	Сьюзан Сарандон	Масло Лоренцо	Михаэла Одоне
66-я	Холли Хантер	Пианино	Ада Макграт
66-я	Анджела Бассетт	На что способна любовь	Анна Мэй Буллок / Тина Тёрнер
66-я	Стокард Чэннинг	Шесть степеней отчуждения	Уиза Киттридж
66-я	Эмма Томпсон	Остаток дня	мисс Кентон
